년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,폭,외경,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2023-02-01,2,9,S47024,B170708902,D23W1W0282,120,T,6830,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,11.5,11.5,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010132,031,D23W01W0992,N,2023-02-01,3,9W91,산세,1,649,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-01,,2021-07-20,2021-07-20,2021-07-26,,4,3,,,A,A,8301,2021-08-16,8100,2023-01-17,11.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-17,C,2023-03-03,,,W
2023-02-01,2,9,S52718,B310328304,D23W1W1156,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,STS303F,W,WR,DM,PK,SL,20.5,20.5,,S0808,TPLEX.CO.Ltd.,D2023010330,001,D23W01W2210,N,2023-02-01,3,9W91,산세,1,703,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-01,,2023-01-02,2023-01-02,2023-01-04,,2,2,6,4,A,A,8301,2023-01-19,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,D,2023-03-03,,,C
2023-02-01,2,9,S52718,B310328304,D23W1W1156,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,STS303F,W,WR,DM,PK,SL,20.5,20.5,,S0808,TPLEX.CO.Ltd.,D2023010330,001,D23W01W2210,N,2023-02-01,3,9W91,산세,1,703,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-01,,2023-01-02,2023-01-02,2023-01-04,,2,2,6,4,A,A,8301,2023-01-19,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,D,2023-03-03,,,C
2023-10-13,2,9,S55300,B390037808,D23WAW0534,140,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,CSS303FS,W,WR,DM,PF,SL,23,23,,S1065,SEAH METAL CO. LTD,D2023100052,004,D23W10W0333,N,2023-10-13,3,9W91,산세,1,684,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-10-13,,2023-08-27,2023-08-27,2023-08-28,,4,3,,,A,A,8301,2023-09-03,8100,2023-09-23,23,0,,,0,0,,,0,0,,,0,0,8100,2023-09-23,A,2023-11-02,,,C
2023-10-13,2,9,S55300,B390037808,D23WAW0534,140,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,CSS303FS,W,WR,DM,PF,SL,23,23,,S1065,SEAH METAL CO. LTD,D2023100052,004,D23W10W0333,N,2023-10-13,3,9W91,산세,1,684,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-10-13,,2023-08-27,2023-08-27,2023-08-28,,4,3,,,A,A,8301,2023-09-03,8100,2023-09-23,23,0,,,0,0,,,0,0,,,0,0,8100,2023-09-23,A,2023-11-02,,,C
2023-10-09,2,9,S54745,B360553700,D23W8W1197,116,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,STS303F,W,WR,DM,PK,SL,26,26,,S0808,TPLEX.CO.Ltd.,D2023080148,011,D23W08W0534,N,2023-10-09,3,9W91,산세,1,"1,261",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2023-10-09,C,2023-06-26,2023-06-26,2023-06-27,,3,2,1,1,A,A,8301,2023-08-25,8100,2023-08-28,26,0,,,0,0,,,0,0,,,0,0,8100,2023-08-28,C,2023-11-02,,,C
2023-10-31,2,9,S55298,B380529301,D23WAW0817,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,CSS303FS,W,WR,DM,PF,SL,23,23,,S1065,SEAH METAL CO. LTD,D2023100111,006,D23W10W1077,N,2023-10-31,3,9W91,산세,1,684,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-10-31,,2023-08-26,2023-08-27,2023-08-28,,4,1,3,9,A,A,8301,2023-10-12,8100,2023-10-14,23,0,,,0,0,,,0,0,,,0,0,8100,2023-10-14,C,2023-11-02,,,C
2023-10-31,2,9,S55298,B380529301,D23WAW0817,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,CSS303FS,W,WR,DM,PF,SL,23,23,,S1065,SEAH METAL CO. LTD,D2023100111,006,D23W10W1077,N,2023-10-31,3,9W91,산세,1,684,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-10-31,,2023-08-26,2023-08-27,2023-08-28,,4,1,3,9,A,A,8301,2023-10-12,8100,2023-10-14,23,0,,,0,0,,,0,0,,,0,0,8100,2023-10-14,C,2023-11-02,,,C
2023-02-01,2,9,S52718,B310137200,D23W1W0487,120,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PF,SL,13.5,13.5,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010132,032,D23W01W1038,N,2023-02-01,3,9W91,산세,1,695,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-01,,2023-01-02,2023-01-02,2023-01-04,,2,2,,,A,A,8301,2023-01-12,8100,2023-01-19,13.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-19,C,2023-03-03,,,W
2023-02-01,2,9,S52718,B310137200,D23W1W0487,120,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PF,SL,13.5,13.5,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010132,032,D23W01W1038,N,2023-02-01,3,9W91,산세,1,695,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-01,,2023-01-02,2023-01-02,2023-01-04,,2,2,,,A,A,8301,2023-01-12,8100,2023-01-19,13.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-19,C,2023-03-03,,,W
2023-02-01,2,9,S51697,B290628700,D22WAW1342,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,STS303F,W,WR,DM,PK,SL,20.5,20.5,,S0808,TPLEX.CO.Ltd.,D2022100138,008,D22W10W1937,N,2023-02-01,3,9W91,산세,1,699,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-01,,2022-09-28,2022-09-28,2022-09-29,,2,1,2,5,A,A,8301,2022-11-22,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,D,2023-03-03,,,C
2023-10-31,2,9,S55298,B380528303,D23WAW0807,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,CSS303FS,W,WR,DM,PF,SL,13.5,13.5,,S1065,SEAH METAL CO. LTD,D2023100111,004,D23W10W1087,N,2023-10-31,3,9W91,산세,1,100,2T00,2제강,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-10-31,,2023-08-26,2023-08-27,2023-08-28,F,4,1,5,5,A,A,8301,2023-10-11,8100,2023-10-27,13.5,0,,,0,0,,,0,0,,,0,0,8100,2023-10-27,C,2023-11-02,,,W
2023-10-31,2,9,S55298,B380528303,D23WAW0807,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,CSS303FS,W,WR,DM,PF,SL,13.5,13.5,,S1065,SEAH METAL CO. LTD,D2023100111,004,D23W10W1087,N,2023-10-31,3,9W91,산세,1,100,8T00,소형압연,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-10-31,,2023-08-26,2023-08-27,2023-08-28,F,4,1,5,5,A,A,8301,2023-10-11,8100,2023-10-27,13.5,0,,,0,0,,,0,0,,,0,0,8100,2023-10-27,C,2023-11-02,,,W
2023-10-30,2,9,S55018,B370541004,D23WAW0355,100,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,11.5,11.5,,20229,"DONG IL STEEL CO.,LTD.",D2023100108,010,D23W10W1041,N,2023-10-30,3,9W91,산세,1,"1,384",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-10-30,,2023-07-20,2023-07-20,2023-07-23,,2,2,2,9,A,A,8301,2023-10-07,8100,2023-10-25,11.5,0,,,0,0,,,0,0,,,0,0,8100,2023-10-25,D,2023-11-02,,,W
2023-10-30,2,9,S55018,B370540801,D23WAW0353,90,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,9.5,9.5,,20229,"DONG IL STEEL CO.,LTD.",D2023100108,008,D23W10W1067,N,2023-10-30,3,9W91,산세,1,718,2T00,2제강,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-10-30,,2023-07-20,2023-07-20,2023-07-23,,2,2,2,5,A,A,8301,2023-10-07,8100,2023-10-11,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-10-11,C,2023-11-02,,,W
2023-10-30,2,9,S55018,B370540801,D23WAW0353,90,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,9.5,9.5,,20229,"DONG IL STEEL CO.,LTD.",D2023100108,008,D23W10W1067,N,2023-10-30,3,9W91,산세,1,717,8T00,소형압연,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-10-30,,2023-07-20,2023-07-20,2023-07-23,,2,2,2,5,A,A,8301,2023-10-07,8100,2023-10-11,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-10-11,C,2023-11-02,,,W
2023-02-01,2,9,S51697,B290628700,D22WAW1342,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,STS303F,W,WR,DM,PK,SL,20.5,20.5,,S0808,TPLEX.CO.Ltd.,D2022100138,008,D22W10W1937,N,2023-02-01,3,9W91,산세,1,698,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-01,,2022-09-28,2022-09-28,2022-09-29,,2,1,2,5,A,A,8301,2022-11-22,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,D,2023-03-03,,,C
2023-10-31,2,9,S55017,B370546401,D23WAW0712,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,CSS303FS,W,WR,DM,PF,SL,12.5,12.5,,S1065,SEAH METAL CO. LTD,D2023100111,003,D23W10W1076,N,2023-10-31,3,9W91,산세,1,692,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-10-31,,2023-07-20,2023-07-20,2023-07-24,F,2,1,3,3,A,A,8301,2023-10-09,8100,2023-10-26,12.5,0,,,0,0,,,0,0,,,0,0,8100,2023-10-26,C,2023-11-02,,,W
2023-02-02,2,9,S47024,B170708900,D23W1W0282,120,T,6830,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,11.5,11.5,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010132,031,D23W01W0992,N,2023-02-02,3,9W91,산세,1,654,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-02,,2021-07-20,2021-07-20,2021-07-26,,4,3,,,A,A,8301,2021-08-16,8100,2023-01-17,11.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-17,C,2023-03-03,,,W
2023-02-02,2,9,S47024,B170708900,D23W1W0282,120,T,6830,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,11.5,11.5,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010132,031,D23W01W0992,N,2023-02-02,3,9W91,산세,1,654,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-02,,2021-07-20,2021-07-20,2021-07-26,,4,3,,,A,A,8301,2021-08-16,8100,2023-01-17,11.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-17,C,2023-03-03,,,W
