년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,폭,외경,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2023-09-21,2,9,S54744,B360578902,D23W9W0471,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,11.5,11.5,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023090165,032,D23W09W1514,N,2023-09-21,3,9W91,산세,1,250,2Z00,2제강,2,S41,줄파임,제품불량,표면,4,JR,폐기,2023-09-21,,2023-06-26,2023-06-26,2023-06-28,,3,1,5,2,A,A,8301,2023-09-06,8100,2023-09-14,11.5,0,,,0,0,,,0,0,,,0,0,8100,2023-09-14,A,2023-10-05,,,W
2023-10-13,2,9,S55301,B380505001,D23W8W1371,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,STS303F,W,WR,DM,PK,SL,26,26,,S0808,TPLEX.CO.Ltd.,D2023080148,011,D23W08W0534,N,2023-10-13,3,9W91,산세,1,687,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-10-13,,2023-08-27,2023-08-27,2023-08-28,,4,4,1,6,A,A,8301,2023-09-22,8100,2023-09-24,26,0,,,0,0,,,0,0,,,0,0,8100,2023-09-24,C,2023-11-02,,,C
2023-10-13,2,9,S55301,B380505001,D23W8W1371,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,STS303F,W,WR,DM,PK,SL,26,26,,S0808,TPLEX.CO.Ltd.,D2023080148,011,D23W08W0534,N,2023-10-13,3,9W91,산세,1,686,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-10-13,,2023-08-27,2023-08-27,2023-08-28,,4,4,1,6,A,A,8301,2023-09-22,8100,2023-09-24,26,0,,,0,0,,,0,0,,,0,0,8100,2023-09-24,C,2023-11-02,,,C
2023-10-31,2,9,S55018,B370540800,D23WAW0353,90,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,9.5,9.5,,20229,"DONG IL STEEL CO.,LTD.",D2023100108,008,D23W10W1067,N,2023-10-31,3,9W91,산세,1,730,2T00,2제강,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-10-31,,2023-07-20,2023-07-20,2023-07-23,,2,2,4,10,A,A,8301,2023-10-07,8100,2023-10-11,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-10-11,C,2023-11-02,,,W
2023-10-31,2,9,S55018,B370540800,D23WAW0353,90,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,9.5,9.5,,20229,"DONG IL STEEL CO.,LTD.",D2023100108,008,D23W10W1067,N,2023-10-31,3,9W91,산세,1,729,8T00,소형압연,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-10-31,,2023-07-20,2023-07-20,2023-07-23,,2,2,4,10,A,A,8301,2023-10-07,8100,2023-10-11,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-10-11,C,2023-11-02,,,W
2024-05-28,2,9,S56869,B430646304,D24W5W0898,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PF,SL,12.5,12.5,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D990602251,310,D24W05W1823,N,2024-05-28,3,9W91,산세,1,688,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2024-05-28,,2024-03-01,2024-03-01,2024-03-02,,4,1,6,8,A,A,8301,2024-05-16,8100,2024-05-19,12.5,0,,,0,0,,,0,0,,,0,0,8100,2024-05-19,B,2024-06-02,,,W
2024-05-28,2,9,S56869,B430646304,D24W5W0898,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PF,SL,12.5,12.5,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D990602251,310,D24W05W1823,N,2024-05-28,3,9W91,산세,1,687,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2024-05-28,,2024-03-01,2024-03-01,2024-03-02,,4,1,6,8,A,A,8301,2024-05-16,8100,2024-05-19,12.5,0,,,0,0,,,0,0,,,0,0,8100,2024-05-19,B,2024-06-02,,,W
2023-10-30,2,9,S55018,B370541007,D23WAW0355,100,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,11.5,11.5,,20229,"DONG IL STEEL CO.,LTD.",D2023100108,010,D23W10W1041,N,2023-10-30,3,9W91,산세,1,464,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-10-30,,2023-07-20,2023-07-20,2023-07-23,,2,2,2,2,A,A,8301,2023-10-07,8100,2023-10-25,11.5,0,,,0,0,,,0,0,,,0,0,8100,2023-10-25,D,2023-11-02,,,W
2023-10-30,2,9,S55018,B370541007,D23WAW0355,100,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,11.5,11.5,,20229,"DONG IL STEEL CO.,LTD.",D2023100108,010,D23W10W1041,N,2023-10-30,3,9W91,산세,1,463,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-10-30,,2023-07-20,2023-07-20,2023-07-23,,2,2,2,2,A,A,8301,2023-10-07,8100,2023-10-25,11.5,0,,,0,0,,,0,0,,,0,0,8100,2023-10-25,D,2023-11-02,,,W
2024-04-26,2,9,S56869,B430614101,D24W4W1172,110,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,CSS303FS,W,WR,DM,PF,SL,21,21,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2024040071,013,D24W04W0511,N,2024-04-26,3,9W91,산세,1,"1,344",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2024-04-26,B,2024-03-01,2024-03-01,2024-03-02,F,4,1,3,11,A,A,8301,2024-04-20,8100,2024-04-23,21,0,,,0,0,,,0,0,,,0,0,8100,2024-04-23,B,2024-05-03,,,C
