년월,HEAT_NO,LOT_NO,공정코드,구분,공장명,주조구분,재료코드,강종그룹,강종코드,투입중량,생산중량,사내강종명,사내강종명(제강),구)사내강종명,품목,형상,용도,표면,열처리,외경,폭,내경,수요가명,수주번호,수주행번,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,발행구분,CAST내 수,CAST내 순,STRAND_NO,STRAND_SEQ,주조완료일,주여구분,지시GR종류,생산GR종류,생산GR공정,제강검사완료일,작업일,강관소재여부,주설비구분
202309,S54744,B360572202,9Y01,압연,산세,T,7730,SSH,SSH034,"1,600","1,375",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,5.5,5.5,0,만호제강(주)창원공장,D2023090182,004,8100,2023-09-10,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-09-10,1,3,1,,,2023-06-26,1,D,D,8301,2023-06-28,2023-09-12,N,W
202308,S54745,B360542700,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,342",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,16,16,0,주식회사 티플랙스,D2023080148,007,8100,2023-08-24,16,0,,,0,0,,,0,0,,,0,0,8100,2023-08-24,1,3,2,,,2023-06-26,1,A,A,8301,2023-06-27,2023-09-11,N,C
202309,S54744,B360572201,9Y01,압연,산세,T,7730,SSH,SSH034,"1,598","1,383",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,5.5,5.5,0,만호제강(주)창원공장,D2023090182,004,8100,2023-09-10,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-09-10,1,3,1,,,2023-06-26,1,D,D,8301,2023-06-28,2023-09-12,N,W
202309,S54744,B360572200,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,386",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,5.5,5.5,0,만호제강(주)창원공장,D2023090182,004,8100,2023-09-10,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-09-10,1,3,1,,,2023-06-26,1,D,D,8301,2023-06-28,2023-09-12,N,W
202309,S54745,B360575504,9Y01,압연,산세,T,7730,SSH,SSH034,"1,610","1,417",STS303FS8,STS303FS8,,W,WR,DZ,PK,SL,5.5,5.5,0,고려특수선재 (주),D2023080095,002,8100,2023-09-10,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-09-10,1,3,2,,,2023-06-26,1,D,D,8301,2023-06-27,2023-09-12,N,W
202309,S54744,B360575600,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,355",STS303FS8,STS303FS8,,W,WR,DZ,PK,SL,5.5,5.5,0,고려특수선재 (주),D2023080095,002,8100,2023-09-10,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-09-10,1,3,1,,,2023-06-26,1,D,D,8301,2023-06-28,2023-09-12,N,W
202308,S54431,B350714500,9Y01,압연,산세,T,7600,SSH,SSH034,"1,314","1,143",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,5.5,5.5,0,(주)세아메탈,D2023080128,028,8100,2023-08-12,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-08-12,1,5,1,,,2023-05-25,1,D,D,8301,2023-05-26,2023-09-12,N,W
202308,S54431,B350714300,9Y01,압연,산세,T,7600,SSH,SSH034,"1,314","1,117",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,5.5,5.5,0,(주)세아메탈,D2023080186,006,8100,2023-08-12,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-08-12,1,5,1,,,2023-05-25,1,D,D,8301,2023-05-26,2023-09-12,N,W
202308,S54745,B360553800,9Y01,압연,산세,T,7730,SSH,SSH034,"1,614","1,259",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,26,26,0,(주)세아메탈,D2023080184,004,8100,2023-08-28,26,0,,,0,0,,,0,0,,,0,0,8100,2023-08-28,1,3,2,,,2023-06-26,1,A,A,8301,2023-06-27,2023-09-12,N,C
202304,S53080,B310645801,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,364",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,5,5,0,(주)세아메탈,D2023030131,044,8100,2023-04-09,5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-09,1,2,1,,,2023-01-31,1,A,A,8301,2023-02-01,2023-04-13,N,W
