년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,강종그룹,강종코드,사내강종명,구)사내강종명,강종,품목,형상,용도,표면,열처리,폭,외경,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,사내강종명(제강),주설비구분,재료코드,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량
2023-01-12,2,8,S48316,B1B0273963,E23W1W0018,75,T,SME,SME002,STS420FS2,S420F,SUS420F,W,WR,DM,PK,FA,5.5,5.5,,S1341,JIANGSU TRI-M,E2023010056,005,E23W01W0133,STS420FS2,W,6830,N,2023-01-12,3,8W91,소형압연,1,"1,504",2Z00,2제강,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-01-12,,2021-11-18,2021-11-18,2021-11-20,,\2,\1,\2,\1,A,A,8301,2022-12-21,8100,2023-01-09,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-09,D,2023-02-02,,
2023-01-12,2,8,S48063,B1A0654103,E23W1W0023,75,T,SME,SME002,STS420FS2,S420F,SUS420F,W,WR,DM,PK,FA,5.5,5.5,,S1341,JIANGSU TRI-M,E2023010056,005,E23W01W0133,STS420FS2,W,6830,N,2023-01-12,3,8W91,소형압연,1,"1,504",2Z00,2제강,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-01-12,,2021-10-28,2021-10-28,2021-10-30,F,\2,\1,\3,\1,A,A,8301,2022-12-21,8100,2023-01-09,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-09,D,2023-02-02,,
2023-01-12,2,8,S48063,B1A0654102,E23W1W0023,75,T,SME,SME002,STS420FS2,S420F,SUS420F,W,WR,DM,PK,FA,5.5,5.5,,S1341,JIANGSU TRI-M,E2023010056,005,E23W01W0133,STS420FS2,W,6830,N,2023-01-12,3,8W91,소형압연,1,"1,504",2Z00,2제강,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-01-12,,2021-10-28,2021-10-28,2021-10-30,F,\2,\1,\6,\1,A,A,8301,2022-12-21,8100,2023-01-09,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-09,D,2023-02-02,,
2023-01-16,2,9,S52732,B310153600,D23W1W0555,60,T,SSA,SSA162,STS304SX,S304,CSS304FS,W,WR,DM,PK,SL,10,10,,S1065,SEAH METAL CO. LTD,D2023010095,069,D23W01W1005,STS304SX,W,7730,N,2023-01-16,3,9W91,산세,1,"1,525",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2023-01-16,A,2023-01-03,2023-01-03,2023-01-05,,\3,\3,\6,\10,,,,,8100,2023-01-16,10,0,,,0,0,,,0,0,,,0,0,8100,2023-01-16,A,2023-02-02,,
2023-01-16,2,9,S52732,B310153601,D23W1W0555,60,T,SSA,SSA162,STS304SX,S304,CSS304FS,W,WR,DM,PK,SL,10,10,,S1065,SEAH METAL CO. LTD,D2023010095,069,D23W01W1005,STS304SX,W,7730,N,2023-01-16,3,9W91,산세,1,"1,537",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2023-01-16,A,2023-01-03,2023-01-03,2023-01-05,,\3,\3,\4,\10,,,,,8100,2023-01-16,10,0,,,0,0,,,0,0,,,0,0,8100,2023-01-16,A,2023-02-02,,
2023-01-17,2,9,N28028,B2C0444801,D23W1W0316,140,B,SSK,SSK001,STSXM7S2,SXM7,SUSXM7,W,WR,DH,PK,SL,7,7,,S0394,"D S R CO.,LTD.",D2023010106,002,D23W01W0986,STSXM7S2,W,P250,N,2023-01-14,3,9W91,산세,1,"1,607",8100,소형압연,2,S31,스크래치,제품불량,표면,4,JR,폐기,2023-01-17,C,2022-10-06,2022-10-07,2022-10-07,,\3,\3,,,A,A,8301,2023-01-10,S105,2022-12-24,160,160,8100,2023-01-12,7,0,,,0,0,,,0,0,8100,2023-01-12,C,2023-02-02,,
2023-01-18,2,9,S52792,B310188400,D23W1W0682,70,T,SSA,SSA112,STS304S2,S304,304,W,WR,DZ,PK,SL,11.5,11.5,,S1199,"OSUNG Fasteners Co.,LTD",D2023010137,003,D23W01W1263,STS304S2,W,7730,N,2023-01-18,3,9W91,산세,1,155,8100,소형압연,2,S11,종크랙,제품불량,표면,4,JR,폐기,2023-01-18,C,2023-01-07,2023-01-07,2023-01-08,,\2,\2,\5,\12,,,,,8100,2023-01-17,11.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-17,C,2023-02-02,,
2023-01-18,2,9,S52770,B310108308,E23W1W0164,70,T,SSA,SSA152,STS304M4S3,S304M4,SUS304M4,W,WR,DH,PK,SL,5.5,5.5,,S0895,SHANDONG TENGDA,E2023010069,001,E23W01W0159,STS304M4S3,W,7730,N,2023-01-18,3,9W91,산세,1,200,9700,산세,2,H14,권취불량,제품불량,형상,4,JR,폐기,2023-01-18,C,2023-01-06,2023-01-06,2023-01-06,,\1,\1,\6,\7,C,C,8301,2023-01-07,8100,2023-01-09,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-09,B,2023-02-02,,
2023-01-18,2,9,S52803,B310157409,D23W1W0582,110,T,SSK,SSK012,STS304CUS4,S302CU,CSS304CUD,W,WR,DH,PK,SL,5.5,5.5,,S0394,"D S R CO.,LTD.",D2023010106,007,D23W01W1310,STS304CUS4,W,7730,N,2023-01-18,3,9W91,산세,1,170,8100,소형압연,2,H14,권취불량,제품불량,형상,4,JR,폐기,2023-01-18,D,2023-01-08,2023-01-08,2023-01-09,,\2,\2,\2,\1,A,A,8301,2023-01-09,8100,2023-01-10,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-10,D,2023-02-02,,
2023-01-19,2,9,S52803,B310157509,D23W1W0582,110,T,SSK,SSK012,STS304CUS4,S302CU,CSS304CUD,W,WR,DH,PK,SL,5.5,5.5,,S0394,"D S R CO.,LTD.",D2023010106,007,D23W01W1310,STS304CUS4,W,7730,N,2023-01-19,3,9W91,산세,1,150,9700,산세,2,S75,취급흠,제품불량,표면,4,JR,폐기,2023-01-19,B,2023-01-08,2023-01-08,2023-01-09,,\2,\2,\2,\4,A,A,8301,2023-01-09,8100,2023-01-10,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-10,D,2023-02-02,,
