년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,외경,폭,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2022-01-29,2,9,S48780,B210251801,D22W1W1201,80,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DZ,PK,SL,21,21,,S0808,TPLEX.CO.Ltd.,D2022010219,012,D22W01W0447,N,2022-01-29,3,9W91,산세,1,110,2T00,2제강,2,S22,터짐,제품불량,표면,4,JR,폐기,2022-01-29,,2022-01-10,2022-01-10,2022-01-11,,\6,\6,\3,\6,A,A,8301,2022-01-20,8100,2022-01-22,21,0,,,0,0,,,0,0,,,0,0,8100,2022-01-22,B,2022-02-07,,,C
2022-01-29,2,9,S48780,B210251801,D22W1W1201,80,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DZ,PK,SL,21,21,,S0808,TPLEX.CO.Ltd.,D2022010219,012,D22W01W0447,N,2022-01-29,3,9W91,산세,1,110,8T00,소형압연,2,S22,터짐,제품불량,표면,4,JR,폐기,2022-01-29,,2022-01-10,2022-01-10,2022-01-11,,\6,\6,\3,\6,A,A,8301,2022-01-20,8100,2022-01-22,21,0,,,0,0,,,0,0,,,0,0,8100,2022-01-22,B,2022-02-07,,,C
2022-01-30,2,9,S48706,B210134701,E21WCW0469,90,T,6830,SSH,SSH030,STS303S1,STS303S1,S303,AISI303,W,WR,DM,PK,SL,21,21,,S0494,MARCEGAGLIA S.P.A,E2021120120,007,E21W12W0486,N,2022-01-30,3,9W91,산세,1,"1,449",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,JR,폐기,2022-01-30,,2022-01-05,2022-01-05,2022-01-06,,\4,\1,\1,\3,A,A,8301,2022-01-19,8100,2022-01-22,21,0,,,0,0,,,0,0,,,0,0,8100,2022-01-22,D,2022-02-07,,,C
2022-01-25,2,9,S48777,B210285801,D22W1W1260,80,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DZ,PK,SL,27,27,,S0808,TPLEX.CO.Ltd.,D2022010186,008,D22W01W0464,N,2022-01-25,3,9W91,산세,1,300,V000,소형생산실공통,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-25,,2022-01-10,2022-01-10,2022-01-11,,\6,\3,\6,\14,A,A,8301,2022-01-23,8100,2022-01-24,27,0,,,0,0,,,0,0,,,0,0,8100,2022-01-24,B,2022-02-07,,,C
2022-01-25,2,9,S48777,B210286301,D22W1W1265,80,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DZ,PK,SL,27,27,,S0808,TPLEX.CO.Ltd.,D2022010187,008,D22W01W0640,N,2022-01-25,3,9W91,산세,1,300,V000,소형생산실공통,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-25,,2022-01-10,2022-01-10,2022-01-11,,\6,\3,\2,\14,A,A,8301,2022-01-22,8100,2022-01-24,27,0,,,0,0,,,0,0,,,0,0,8100,2022-01-24,B,2022-02-07,,,C
2022-01-27,2,9,S48773,B210292406,D22W1W1302,80,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DM,PK,SL,32,32,,20229,"DONG IL STEEL CO.,LTD.",D2022010232,016,D22W01W1430,N,2022-01-27,3,9W91,산세,1,150,8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-27,D,2022-01-10,2022-01-10,2022-01-10,,\6,\5,\4,\14,A,A,8301,2022-01-24,8100,2022-01-25,32,0,,,0,0,,,0,0,,,0,0,8100,2022-01-25,D,2022-02-07,,,C
2022-01-26,2,9,S48809,B210374409,D22W1W1455,80,T,7720,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DZ,PK,SL,32,32,,S0808,TPLEX.CO.Ltd.,D2022010287,010,D22W01W2304,N,2022-01-26,3,9W91,산세,1,250,8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-26,B,2022-01-12,2022-01-13,2022-01-17,,\1,\1,\6,\5,A,A,8301,2022-01-20,8100,2022-01-25,32,0,,,0,0,,,0,0,,,0,0,8100,2022-01-25,B,2022-02-07,,,C
2022-01-22,2,9,S48732,B210203908,D22W1W1132,70,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PK,SL,20,20,,S0808,TPLEX.CO.Ltd.,D2022010200,001,D22W01W0511,N,2022-01-22,3,9W91,산세,1,200,8100,소형압연,2,S13,SEAM,제품불량,표면,4,JR,폐기,2022-01-22,A,2022-01-07,2022-01-07,2022-01-07,,\4,\3,\5,\3,,,,,8100,2022-01-21,20,0,,,0,0,,,0,0,,,0,0,8100,2022-01-21,A,2022-02-07,,,C
2022-01-21,2,9,S48791,B210193009,D22W1W1075,90,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DZ,PF,SL,19,19,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2022010207,026,D22W01W1025,N,2022-01-21,3,9W91,산세,1,200,V000,소형생산실공통,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-21,,2022-01-11,2022-01-11,2022-01-11,,\5,\5,\5,\8,A,A,8301,2022-01-19,8100,2022-01-21,19,0,,,0,0,,,0,0,,,0,0,8100,2022-01-21,B,2022-02-07,,,C
2022-01-26,2,9,S48727,B210301000,D22W1W1336,80,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PK,SL,32,32,,S0808,TPLEX.CO.Ltd.,D2022010219,001,D22W01W0448,N,2022-01-26,3,9W91,산세,1,250,8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-26,B,2022-01-06,2022-01-07,2022-01-07,,\6,\5,\6,\5,C,C,8301,2022-01-24,8100,2022-01-25,32,0,,,0,0,,,0,0,,,0,0,8100,2022-01-25,B,2022-02-07,,,C
