년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,외경,폭,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2022-02-24,2,9,S49033,B210699201,D22W2W1281,80,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DM,PK,SL,31,31,,20229,"DONG IL STEEL CO.,LTD.",D2022020128,012,D22W02W0446,N,2022-02-24,3,9W91,산세,1,250,8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-02-24,D,2022-01-30,2022-01-30,2022-01-31,,\7,\7,\2,\3,A,A,8301,2022-02-23,8100,2022-02-24,31,0,,,0,0,,,0,0,,,0,0,8100,2022-02-24,D,2022-03-03,,,C
2022-02-24,2,9,S49040,B210644406,E22W1W0480,70,T,6830,SSA,SSA112,STS304S2,STS304S2,S304,SUS304,W,WR,OS,PF,,28,28,,S1772,"TOMOE WORKS CO.,LTD.",E2022010080,003,E22W01W0367,N,2022-02-24,3,9W91,산세,1,659,8100,소형압연,2,S75,취급흠,제품불량,표면,4,RG,수동연마추가,2022-02-24,A,2022-01-30,2022-01-31,2022-01-31,,\5,\4,,,A,A,8301,2022-02-22,8100,2022-02-23,28,0,,,0,0,,,0,0,,,0,0,8100,2022-02-23,A,2022-03-03,,,C
2022-02-24,2,9,S49040,B210644406,E22W1W0480,70,T,6830,SSA,SSA112,STS304S2,STS304S2,S304,SUS304,W,WR,OS,PF,,28,28,,S1772,"TOMOE WORKS CO.,LTD.",E2022010080,003,E22W01W0367,N,2022-02-24,3,9W91,산세,1,659,9700,산세,2,S75,취급흠,제품불량,표면,4,RG,수동연마추가,2022-02-24,C,2022-01-30,2022-01-31,2022-01-31,,\5,\4,,,A,A,8301,2022-02-22,8100,2022-02-23,28,0,,,0,0,,,0,0,,,0,0,8100,2022-02-23,A,2022-03-03,,,C
2022-02-24,2,8,S48746,B210144000,P22W2W0018,50,T,6830,SSA,SSA112,STS304S2,STS304S2,S304,SUS304,W,WR,OS,PF,,28,28,,Z0019,Quality Assurance Team QA Part,P2022020152,001,P22W02W0002,N,2022-02-24,3,8W91,소형압연,1,"1,433",8100,소형압연,2,D24,외경(변)초과,제품불량,치수,4,DU,용도변경,2022-02-24,B,2022-01-08,2022-01-08,2022-01-08,,\2,\2,\5,\9,A,A,8301,2022-01-22,8100,2022-01-24,28,0,,,0,0,,,0,0,,,0,0,8100,2022-01-24,B,2022-03-03,,,C
2022-01-28,2,A,S48774,B210289700,D22W1W1278,45,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DZ,PK,SL,29,29,,S0808,TPLEX.CO.Ltd.,D2022010187,009,D22W01W0495,N,2022-01-28,3,AW81,가공,1,"1,399",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,DU,용도변경,2022-01-28,C,2022-01-10,2022-01-10,2022-01-10,,\6,\6,\2,\7,A,A,8301,2022-01-24,8100,2022-01-25,29,0,,,0,0,,,0,0,,,0,0,8100,2022-01-25,C,2022-02-07,,,C
2022-02-25,2,9,S48934,B210668901,D22W2W1111,80,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PK,SL,31,31,,S0808,TPLEX.CO.Ltd.,D2022020229,013,D22W02W0807,N,2022-02-25,3,9W91,산세,1,622,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2022-02-25,,2022-01-23,2022-01-24,2022-01-24,,\5,\1,\4,\12,C,C,8301,2022-02-23,8100,2022-02-24,31,0,,,0,0,,,0,0,,,0,0,8100,2022-02-24,D,2022-03-03,,,C
2022-02-25,2,9,S48934,B210668901,D22W2W1111,80,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PK,SL,31,31,,S0808,TPLEX.CO.Ltd.,D2022020229,013,D22W02W0807,N,2022-02-25,3,9W91,산세,1,621,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2022-02-25,,2022-01-23,2022-01-24,2022-01-24,,\5,\1,\4,\12,C,C,8301,2022-02-23,8100,2022-02-24,31,0,,,0,0,,,0,0,,,0,0,8100,2022-02-24,D,2022-03-03,,,C
2022-02-06,2,9,S48759,B210152605,D22W1W1028,80,T,6830,SSJ,SSJ016,STS304HCS5,STS304HCS5,S304HC,SUS304HC,W,WR,DH,PK,SL,26,26,,S1065,SEAH METAL CO. LTD,D2022010161,017,D22W01W1141,N,2022-02-06,3,9W91,산세,1,"1,319",2Z00,2제강,2,S41,줄파임,제품불량,표면,4,RG,수동연마추가,2022-02-06,,2022-01-09,2022-01-09,2022-01-09,,\2,\2,\6,\4,A,A,8301,2022-01-14,8100,2022-01-24,26,0,,,0,0,,,0,0,,,0,0,8100,2022-01-24,C,2022-03-03,,,C
2022-01-22,2,9,S48478,B1C0610305,D22W1W0996,80,T,6830,SSA,SSA112,STS304S2,STS304S2,S304,SUS304,W,WR,DB,PF,SL,20,20,,S1065,SEAH METAL CO. LTD,D2022010161,003,D22W01W1121,N,2022-01-22,3,9W91,산세,1,"1,388",V000,소형생산실공통,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-22,,2021-12-06,2021-12-06,2021-12-07,,\2,\1,\3,\10,,,,,8100,2022-01-21,20,0,,,0,0,,,0,0,,,0,0,8100,2022-01-21,A,2022-02-07,,,C
2022-01-26,2,9,S48726,B210302800,D22W1W1354,80,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PK,SL,33,33,,S0808,TPLEX.CO.Ltd.,D2022010279,014,D22W01W2216,N,2022-01-26,3,9W91,산세,1,160,8100,소형압연,2,S31,스크래치,제품불량,표면,4,JR,폐기,2022-01-26,C,2022-01-06,2022-01-07,2022-01-07,,\6,\4,,,C,C,8301,2022-01-25,8100,2022-01-26,33,0,,,0,0,,,0,0,,,0,0,8100,2022-01-26,C,2022-02-07,,,C
