년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,외경,폭,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2023-09-26,2,9,S55361,B380498800,D23W9W1420,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,29,29,,S0808,TPLEX.CO.Ltd.,D2023090037,006,D23W09W0139,N,2023-09-26,3,9W91,산세,1,"1,373",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-09-26,D,2023-08-31,2023-08-31,2023-09-01,,2,2,6,1,A,A,8301,2023-09-23,8100,2023-09-26,29,0,,,0,0,,,0,0,,,0,0,8100,2023-09-26,D,2023-10-05,,,C
2023-10-30,2,9,S54804,B360619603,D23WAW1164,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,27,27,,S0808,TPLEX.CO.Ltd.,D2023100173,006,D23W10W1328,N,2023-10-30,3,9W91,산세,1,"1,424",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-10-30,B,2023-06-30,2023-06-30,2023-07-03,,3,2,6,4,A,A,8301,2023-10-26,8100,2023-10-30,27,0,,,0,0,,,0,0,,,0,0,8100,2023-10-30,B,2023-11-02,,,C
2024-04-02,2,9,S56925,B430431201,D24W3W1330,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,33,33,,S0808,TPLEX.CO.Ltd.,D2024030148,015,D24W03W1666,N,2024-04-02,3,9W91,산세,1,"1,393",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2024-04-02,C,2024-03-05,2024-03-05,2024-03-06,,6,1,3,7,A,A,8301,2024-03-26,8100,2024-03-31,33,0,,,0,0,,,0,0,,,0,0,8100,2024-03-31,C,2024-05-03,,,C
2023-07-25,2,9,S54525,B360506704,D23W7W1115,90,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PF,SL,32,32,,S1065,SEAH METAL CO. LTD,D2023080010,001,D23W07W1725,N,2023-07-25,3,9W91,산세,1,"1,377",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-07-25,,2023-06-01,2023-06-01,2023-06-02,,3,2,3,4,A,A,8301,2023-07-21,8100,2023-07-23,32,0,,,0,0,,,0,0,,,0,0,8100,2023-07-23,B,2023-08-07,,,C
2023-09-26,2,9,S55361,B380498404,D23W9W1416,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,26,26,,S0808,TPLEX.CO.Ltd.,D2023090329,013,D23W09W2059,N,2023-09-26,3,9W91,산세,1,"1,425",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-09-26,C,2023-08-31,2023-08-31,2023-09-01,,2,2,5,7,A,A,8301,2023-09-20,8100,2023-09-24,26,0,,,0,0,,,0,0,,,0,0,8100,2023-09-24,C,2023-10-05,,,C
2023-09-26,2,9,S55361,B380499107,D23W9W1423,82,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,29,29,,S0808,TPLEX.CO.Ltd.,D2023090329,015,D23W09W2060,N,2023-09-26,3,9W91,산세,1,"1,360",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-09-26,,2023-08-31,2023-08-31,2023-09-01,,2,2,,,A,A,8301,2023-09-24,8100,2023-09-26,29,0,,,0,0,,,0,0,,,0,0,8100,2023-09-26,D,2023-10-05,,,C
2023-09-27,2,9,S54521,B360594700,D23W9W1448,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,31,31,,S0808,TPLEX.CO.Ltd.,D2023090035,009,D23W09W0141,N,2023-09-27,3,9W91,산세,1,"1,336",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-09-27,,2023-06-01,2023-06-01,2023-06-01,,6,4,1,11,A,A,8301,2023-09-23,8100,2023-09-26,31,0,,,0,0,,,0,0,,,0,0,8100,2023-09-26,C,2023-10-05,,,C
2023-05-29,2,9,S54210,B350375501,D23W5W1348,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,30,30,,S0808,TPLEX.CO.Ltd.,D2023050157,013,D23W05W0579,N,2023-05-29,3,9W91,산세,1,"1,399",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-05-29,,2023-05-02,2023-05-02,2023-05-02,,4,4,2,5,A,A,8301,2023-05-26,8100,2023-05-28,30,0,,,0,0,,,0,0,,,0,0,8100,2023-05-28,A,2023-06-02,,,C
2023-05-29,2,9,S54210,B350375701,D23W5W1350,82,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,30,30,,S0808,TPLEX.CO.Ltd.,D2023050310,023,D23W05W1866,N,2023-05-29,3,9W91,산세,1,"1,373",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-05-29,,2023-05-02,2023-05-02,2023-05-02,,4,4,6,2,A,A,8301,2023-05-26,8100,2023-05-28,30,0,,,0,0,,,0,0,,,0,0,8100,2023-05-28,A,2023-06-02,,,C
2023-05-29,2,9,S54209,B350354900,D23W5W1257,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,28,28,,S0808,TPLEX.CO.Ltd.,D2023050157,011,D23W05W0595,N,2023-05-29,3,9W91,산세,1,"1,454",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-05-29,,2023-05-02,2023-05-02,2023-05-02,,4,3,4,12,,,,,8100,2023-05-27,28,0,,,0,0,,,0,0,,,0,0,8100,2023-05-27,D,2023-06-02,,,C
2023-09-27,2,9,S55361,B380499700,D23W9W1429,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,33,33,,S0808,TPLEX.CO.Ltd.,D2023090035,010,D23W09W0179,N,2023-09-27,3,9W91,산세,1,"1,376",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-09-27,A,2023-08-31,2023-08-31,2023-09-01,,2,2,3,6,A,A,8301,2023-09-24,8100,2023-09-27,33,0,,,0,0,,,0,0,,,0,0,8100,2023-09-27,A,2023-10-05,,,C
2024-05-30,2,9,S57594,B450386004,D24W5W1270,90,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DZ,PF,SL,32,32,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D990704764,20,D24W05W1756,N,2024-05-29,3,9W91,산세,1,"1,230",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,DU,용도변경,2024-05-30,A,2024-05-04,2024-05-05,2024-05-06,,4,1,,,A,A,8301,2024-05-26,8100,2024-05-28,32,0,,,0,0,,,0,0,,,0,0,8100,2024-05-28,A,2024-06-02,,,C
2023-09-26,2,9,S54521,B360594000,D23W9W1441,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,28,28,,S0808,TPLEX.CO.Ltd.,D2023090035,006,D23W09W0151,N,2023-09-26,3,9W91,산세,1,676,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-09-26,,2023-06-01,2023-06-01,2023-06-01,,6,4,3,8,A,A,8301,2023-09-23,8100,2023-09-25,28,0,,,0,0,,,0,0,,,0,0,8100,2023-09-25,C,2023-10-05,,,C
2023-09-26,2,9,S54521,B360594000,D23W9W1441,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,28,28,,S0808,TPLEX.CO.Ltd.,D2023090035,006,D23W09W0151,N,2023-09-26,3,9W91,산세,1,675,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-09-26,,2023-06-01,2023-06-01,2023-06-01,,6,4,3,8,A,A,8301,2023-09-23,8100,2023-09-25,28,0,,,0,0,,,0,0,,,0,0,8100,2023-09-25,C,2023-10-05,,,C
