Time;[110:2];[110:10];[112:28];[112:29]
22.03.2025 13:58:26.530763;9.87884;0;408;1
22.03.2025 13:58:26.630763;10.3448;0;408;1
22.03.2025 13:58:26.730763;10.6244;0;408;1
22.03.2025 13:58:26.830763;10.8108;0;408;1
22.03.2025 13:58:26.930763;11.2768;0;408;1
22.03.2025 13:58:27.030763;11.2768;0;408;1
22.03.2025 13:58:27.130763;10.6244;0;408;1
22.03.2025 13:58:27.230763;9.87884;0;408;1
22.03.2025 13:58:27.330763;9.69245;0;408;1
22.03.2025 13:58:27.430763;9.50606;0;408;1
22.03.2025 13:58:27.530763;8.76048;0;408;1
22.03.2025 13:58:27.630763;9.69245;0;408;1
22.03.2025 13:58:27.730763;9.97204;0;408;1
22.03.2025 13:58:27.830763;10.0652;0;408;1
22.03.2025 13:58:27.930763;10.1584;0;408;1
22.03.2025 13:58:28.030763;11.1836;0;408;1
22.03.2025 13:58:28.130763;10.7176;0;408;1
22.03.2025 13:58:28.230763;9.97204;0;408;1
22.03.2025 13:58:28.330763;9.97204;0;408;1
22.03.2025 13:58:28.430763;10.0652;0;408;1
22.03.2025 13:58:28.530763;9.50606;0;408;1
22.03.2025 13:58:28.630763;9.50606;0;408;1
22.03.2025 13:58:28.730763;10.0652;0;408;1
22.03.2025 13:58:28.830763;9.78565;0;408;1
22.03.2025 13:58:28.930763;9.22647;0;408;1
22.03.2025 13:58:29.030763;9.13327;0;408;1
22.03.2025 13:58:29.130763;9.41286;0;408;1
22.03.2025 13:58:29.230763;9.87884;0;408;1
22.03.2025 13:58:29.330763;9.50606;0;408;1
22.03.2025 13:58:29.430763;9.78565;0;408;1
22.03.2025 13:58:29.530763;10.8108;0;408;1
22.03.2025 13:58:29.630763;10.9972;0;408;1
22.03.2025 13:58:29.730763;10.438;0;408;1
22.03.2025 13:58:29.830763;10.3448;0;408;1
22.03.2025 13:58:29.930763;10.438;0;408;1
22.03.2025 13:58:30.030763;9.69245;0;408;1
22.03.2025 13:58:30.130763;10.2516;0;408;1
22.03.2025 13:58:30.230763;9.87884;0;408;1
