Time;[110:2];[110:10];[112:28];[112:29];[6.0]
15.03.2025 08:04:05.195366;9.69245;0;408;1;0
15.03.2025 08:04:05.295366;10.0652;0;408;1;0
15.03.2025 08:04:05.395366;10.3448;0;408;1;0
15.03.2025 08:04:05.495366;10.5312;0;408;1;0
15.03.2025 08:04:05.595366;10.904;0;408;1;0
15.03.2025 08:04:05.695366;10.904;0;408;1;0
15.03.2025 08:04:05.795366;10.3448;0;408;1;0
15.03.2025 08:04:05.895366;9.97204;0;408;1;0
15.03.2025 08:04:05.995366;9.41286;0;408;1;0
15.03.2025 08:04:06.095366;9.87884;0;408;1;0
15.03.2025 08:04:06.195366;10.2516;0;408;1;0
15.03.2025 08:04:06.295366;10.1584;0;408;1;0
15.03.2025 08:04:06.395366;9.78565;0;408;1;0
15.03.2025 08:04:06.495366;9.31966;0;408;1;0
15.03.2025 08:04:06.595366;9.59925;0;408;1;0
15.03.2025 08:04:06.695366;9.87884;0;408;1;0
15.03.2025 08:04:06.795366;9.87884;0;408;1;0
15.03.2025 08:04:06.895366;10.0652;0;408;1;0
15.03.2025 08:04:06.995366;9.59925;0;408;1;0
15.03.2025 08:04:07.095366;10.3448;0;408;1;0
15.03.2025 08:04:07.195366;10.7176;0;408;1;0
15.03.2025 08:04:07.295366;10.0652;0;408;1;0
15.03.2025 08:04:07.395366;9.97204;0;408;1;0
15.03.2025 08:04:07.495366;9.87884;0;408;1;0
15.03.2025 08:04:07.595366;10.3448;0;408;1;0
15.03.2025 08:04:07.695366;10.438;0;408;1;0
15.03.2025 08:04:07.795366;10.5312;0;408;1;0
15.03.2025 08:04:07.895366;9.78565;0;408;1;0
15.03.2025 08:04:07.995366;9.59925;0;408;1;0
15.03.2025 08:04:08.095366;9.50606;0;408;1;0
15.03.2025 08:04:08.195366;9.41286;0;408;1;0
15.03.2025 08:04:08.295366;9.59925;0;408;1;0
15.03.2025 08:04:08.395366;10.2516;0;408;1;0
15.03.2025 08:04:08.495366;10.5312;0;408;1;0
15.03.2025 08:04:08.595366;10.0652;0;408;1;0
15.03.2025 08:04:08.695366;10.438;0;408;1;0
15.03.2025 08:04:08.795366;10.2516;0;408;1;0
15.03.2025 08:04:08.895366;9.50606;0;408;1;0
15.03.2025 08:04:08.995366;9.59925;0;408;1;0
15.03.2025 08:04:09.095366;10.6244;0;408;1;0
15.03.2025 08:04:09.195366;10.6244;0;408;1;0
15.03.2025 08:04:09.295366;9.97204;0;408;1;0
15.03.2025 08:04:09.395366;9.78565;0;408;1;0
15.03.2025 08:04:09.495366;9.22647;0;408;1;0
15.03.2025 08:04:09.595366;9.41286;0;408;1;0
15.03.2025 08:04:09.695366;9.04007;0;408;1;0
15.03.2025 08:04:09.795366;10.2516;0;408;1;0
15.03.2025 08:04:09.895366;10.7176;0;408;1;0
15.03.2025 08:04:09.995366;10.3448;0;408;1;0
15.03.2025 08:04:10.095366;10.3448;0;408;1;0
15.03.2025 08:04:10.195366;9.69245;0;408;1;0
15.03.2025 08:04:10.295366;9.78565;0;408;1;0
15.03.2025 08:04:10.395366;10.7176;0;408;1;0
15.03.2025 08:04:10.495366;10.5312;0;408;1;0
15.03.2025 08:04:10.595366;9.87884;0;408;1;0
15.03.2025 08:04:10.695366;9.69245;0;408;1;0
15.03.2025 08:04:10.795366;9.04007;0;408;1;0
15.03.2025 08:04:10.895366;9.78565;0;408;1;0
15.03.2025 08:04:10.995366;9.59925;0;408;1;0
15.03.2025 08:04:11.095366;9.87884;0;408;1;0
15.03.2025 08:04:11.195366;9.50606;0;408;1;0
15.03.2025 08:04:11.295366;9.87884;0;408;1;0
15.03.2025 08:04:11.395366;11.0904;0;408;1;0
15.03.2025 08:04:11.495366;11.2768;0;408;1;0
15.03.2025 08:04:11.595366;10.8108;0;408;1;0
15.03.2025 08:04:11.695366;10.5312;0;408;1;0
15.03.2025 08:04:11.795366;10.8108;0;408;1;0
15.03.2025 08:04:11.895366;10.904;0;408;1;0
15.03.2025 08:04:11.995366;10.3448;0;408;1;0
15.03.2025 08:04:12.095366;10.438;0;408;1;0
15.03.2025 08:04:12.195366;10.2516;0;408;1;0
15.03.2025 08:04:12.295366;10.0652;0;408;1;0
15.03.2025 08:04:12.395366;10.6244;0;408;1;0
15.03.2025 08:04:12.495366;10.0652;0;408;1;0
15.03.2025 08:04:12.595366;10.3448;0;408;1;0
15.03.2025 08:04:12.695366;10.6244;0;408;1;0
15.03.2025 08:04:12.795366;10.3448;0;408;1;0
15.03.2025 08:04:12.895366;10.1584;0;408;1;0
15.03.2025 08:04:12.995366;9.59925;0;408;1;0
15.03.2025 08:04:13.095366;9.69245;0;408;1;0
15.03.2025 08:04:13.195366;9.13327;0;408;1;0
15.03.2025 08:04:13.295366;9.22647;0;408;1;0
15.03.2025 08:04:13.395366;9.87884;0;408;1;0
15.03.2025 08:04:13.495366;10.0652;0;408;1;0
15.03.2025 08:04:13.595366;9.59925;0;408;1;0
15.03.2025 08:04:13.695366;9.59925;0;408;1;0
15.03.2025 08:04:13.795366;8.94688;0;408;1;0
15.03.2025 08:04:13.895366;9.31966;0;408;1;0
15.03.2025 08:04:13.995366;9.31966;0;408;1;0
15.03.2025 08:04:14.095366;10.2516;0;408;1;0
15.03.2025 08:04:14.195366;11.1836;0;408;1;0
15.03.2025 08:04:14.295366;10.8108;0;408;1;0
15.03.2025 08:04:14.395366;10.904;0;408;1;0
15.03.2025 08:04:14.495366;10.9972;0;408;1;0
15.03.2025 08:04:14.595366;11.2768;0;408;1;0
15.03.2025 08:04:14.695366;10.904;0;408;1;0
