Time;[110:2];[110:10];[112:28];[112:29];[6.0]
09.03.2025 14:00:15.829376;9.31966;0;408;1;0
09.03.2025 14:00:15.929376;9.69245;0;408;1;0
09.03.2025 14:00:16.029376;9.78565;0;408;1;0
09.03.2025 14:00:16.129376;10.0652;0;408;1;0
09.03.2025 14:00:16.229376;10.5312;0;408;1;0
09.03.2025 14:00:16.329376;9.97204;0;408;1;0
09.03.2025 14:00:16.429376;10.438;0;408;1;0
09.03.2025 14:00:16.529376;10.2516;0;408;1;0
09.03.2025 14:00:16.629376;10.3448;0;408;1;0
09.03.2025 14:00:16.729376;9.59925;0;408;1;0
09.03.2025 14:00:16.829376;10.0652;0;408;1;0
09.03.2025 14:00:16.929376;9.78565;0;408;1;0
09.03.2025 14:00:17.029376;10.0652;0;408;1;0
09.03.2025 14:00:17.129376;9.50606;0;408;1;0
09.03.2025 14:00:17.229376;10.2516;0;408;1;0
09.03.2025 14:00:17.329376;10.7176;0;408;1;0
09.03.2025 14:00:17.429376;10.1584;0;408;1;0
09.03.2025 14:00:17.529376;9.69245;0;408;1;0
09.03.2025 14:00:17.629376;9.50606;0;408;1;0
09.03.2025 14:00:17.729376;9.69245;0;408;1;0
09.03.2025 14:00:17.829376;10.0652;0;408;1;0
09.03.2025 14:00:17.929376;10.7176;0;408;1;0
09.03.2025 14:00:18.029376;10.5312;0;408;1;0
09.03.2025 14:00:18.129376;9.69245;0;408;1;0
09.03.2025 14:00:18.229376;9.59925;0;408;1;0
09.03.2025 14:00:18.329376;9.78565;0;408;1;0
09.03.2025 14:00:18.429376;9.41286;0;408;1;0
09.03.2025 14:00:18.529376;10.3448;0;408;1;0
09.03.2025 14:00:18.629376;10.6244;0;408;1;0
09.03.2025 14:00:18.729376;10.1584;0;408;1;0
09.03.2025 14:00:18.829376;10.5312;0;408;1;0
09.03.2025 14:00:18.929376;9.97204;0;408;1;0
09.03.2025 14:00:19.029376;9.13327;0;408;1;0
09.03.2025 14:00:19.129376;9.87884;0;408;1;0
09.03.2025 14:00:19.229376;9.50606;0;408;1;0
09.03.2025 14:00:19.329376;9.69245;0;408;1;0
09.03.2025 14:00:19.429376;9.31966;0;408;1;0
09.03.2025 14:00:19.529376;9.69245;0;408;1;0
09.03.2025 14:00:19.629376;10.0652;0;408;1;0
09.03.2025 14:00:19.729376;10.5312;0;408;1;0
09.03.2025 14:00:19.829376;10.6244;0;408;1;0
09.03.2025 14:00:19.929376;10.8108;0;408;1;0
09.03.2025 14:00:20.029376;10.7176;0;408;1;0
09.03.2025 14:00:20.129376;9.87884;0;408;1;0
09.03.2025 14:00:20.229376;9.13327;0;408;1;0
09.03.2025 14:00:20.329376;9.31966;0;408;1;0
09.03.2025 14:00:20.429376;9.41286;0;408;1;0
09.03.2025 14:00:20.529376;9.78565;0;408;1;0
09.03.2025 14:00:20.629376;10.0652;0;408;1;0
09.03.2025 14:00:20.729376;9.59925;0;408;1;0
09.03.2025 14:00:20.829376;9.78565;0;408;1;0
09.03.2025 14:00:20.929376;10.3448;0;408;1;0
09.03.2025 14:00:21.029376;10.1584;0;408;1;0
09.03.2025 14:00:21.129376;10.1584;0;408;1;0
09.03.2025 14:00:21.229376;10.3448;0;408;1;0
09.03.2025 14:00:21.329376;10.438;0;408;1;0
09.03.2025 14:00:21.429376;9.69245;0;408;1;0
09.03.2025 14:00:21.529376;9.59925;0;408;1;0
09.03.2025 14:00:21.629376;9.78565;0;408;1;0
09.03.2025 14:00:21.729376;10.0652;0;408;1;0
09.03.2025 14:00:21.829376;9.59925;0;408;1;0
09.03.2025 14:00:21.929376;9.69245;0;408;1;0
09.03.2025 14:00:22.029376;10.438;0;408;1;0
09.03.2025 14:00:22.129376;10.1584;0;408;1;0
09.03.2025 14:00:22.229376;9.97204;0;408;1;0
09.03.2025 14:00:22.329376;10.0652;0;408;1;0
09.03.2025 14:00:22.429376;9.50606;0;408;1;0
09.03.2025 14:00:22.529376;9.31966;0;408;1;0
09.03.2025 14:00:22.629376;10.0652;0;408;1;0
09.03.2025 14:00:22.729376;10.3448;0;408;1;0
09.03.2025 14:00:22.829376;10.0652;0;408;1;0
09.03.2025 14:00:22.929376;10.0652;0;408;1;0
09.03.2025 14:00:23.029376;10.2516;0;408;1;0
09.03.2025 14:00:23.129376;10.5312;0;408;1;0
09.03.2025 14:00:23.229376;10.7176;0;408;1;0
09.03.2025 14:00:23.329376;9.97204;0;408;1;0
09.03.2025 14:00:23.429376;9.69245;0;408;1;0
09.03.2025 14:00:23.529376;9.31966;0;408;1;0
09.03.2025 14:00:23.629376;9.59925;0;408;1;0
09.03.2025 14:00:23.729376;9.87884;0;408;1;0
09.03.2025 14:00:23.829376;10.1584;0;408;1;0
